35,96,72,77,213,34
28,101,91,243,163,31
30,99,91,159,88,30
18,91,96,226,48,34
33,99,90,35,138,29
29,77,85,34,247,29
34,85,65,154,194,34
35,87,75,144,90,31
29,89,86,40,121,35
36,96,83,39,188,34
18,81,67,177,87,37
32,87,87,180,259,32
33,87,86,147,59,35
28,86,102,18,186,27
34,90,95,45,51,18
36,94,73,236,171,31
18,99,88,145,205,18
24,74,81,105,35,24
21,89,77,88,66,19
22,97,98,188,69,22
26,90,93,49,31,28
31,97,100,168,104,30
31,95,80,242,20,33
30,102,98,193,99,30
33,92,90,74,113,23
34,92,88,156,138,33
34,86,64,104,221,33
26,101,94,126,137,26
35,97,80,14,216,35
24,99,84,102,24,30
18,98,69,12,54,18
23,98,86,152,142,25
26,99,64,162,74,26
23,91,90,134,55,32
36,96,76,228,108,38
39,98,90,117,80,39
30,92,90,184,27,31
35,97,76,230,171,35
32,84,85,241,65,32
34,97,72,35,173,34
30,95,71,162,51,34
15,96,81,253,186,28
27,97,93,158,31,18
30,101,88,153,19,30
33,95,64,46,16,34
28,94,61,32,109,33
28,89,98,256,90,24
24,94,85,119,245,22
28,91,94,58,196,28
30,93,68,129,94,31
31,90,68,116,220,29
35,90,96,218,150,35
33,97,96,134,247,33
32,87,81,204,108,31
29,92,56,101,213,36
30,98,99,170,154,30
35,97,72,137,234,29
30,90,74,111,79,27
21,96,60,125,221,26
32,90,99,215,165,34
30,97,76,138,226,32
27,102,81,154,135,27
34,96,86,96,233,33
27,95,101,149,216,31
15,83,99,11,39,16
32,104,99,95,194,32
28,96,52,249,58,28
36,96,92,39,196,22
36,90,83,79,143,36
31,97,71,98,114,35
30,77,94,23,118,34
18,99,101,111,71,30
26,97,65,138,93,26
34,94,99,139,148,32
21,100,89,41,129,21
25,70,96,107,120,25
36,85,99,125,171,27
27,100,84,46,204,38
28,87,88,234,100,27
16,84,92,112,112,32
30,77,78,10,102,30
28,97,80,110,215,28
19,97,82,103,202,19
29,97,78,216,92,31
33,92,79,186,169,33
29,101,54,81,133,29
21,73,91,189,23,19
18,102,87,65,98,35
30,92,76,123,24,27
33,92,95,129,30,32
28,94,96,69,153,28
21,87,87,42,241,24
27,98,65,81,170,25
29,94,97,216,203,29
35,84,64,32,241,36
29,93,92,215,123,34
36,97,66,225,32,14
34,80,85,119,12,39
34,99,82,33,209,25
33,91,66,84,81,33
23,95,67,147,78,22
34,98,58,13,144,33
32,90,55,192,1,32
27,96,56,112,21,29
20,93,85,34,82,21
30,102,84,245,219,17
37,96,75,243,207,37
40,94,80,249,217,36
29,91,59,217,192,27
33,100,93,50,64,32
30,101,52,199,158,30
34,80,74,96,180,22
25,69,81,63,76,23
29,84,99,149,71,13
26,100,83,32,246,29
30,85,75,249,60,30
33,93,81,184,172,28
27,94,96,16,183,25
27,83,52,205,94,18
29,87,83,70,227,38
32,96,93,186,54,31
26,100,62,215,79,26
28,100,90,125,161,33
25,93,70,25,96,31
36,68,93,156,149,27
26,97,77,150,171,30
32,98,66,5,61,32
32,90,97,131,112,32
34,77,56,38,21,34
38,97,83,94,242,38
29,96,95,36,203,29
24,100,94,11,206,31
26,93,84,236,110,22
25,97,92,21,37,25
28,88,93,160,134,28
30,95,70,154,183,33
33,93,72,62,231,35
27,63,94,42,176,27
21,96,90,35,199,21
28,85,95,125,-5,28
34,90,58,163,134,34
31,99,83,105,103,31
29,100,64,159,188,18
30,98,98,45,157,26
32,85,95,58,230,32
35,85,82,77,157,34
20,100,81,157,155,28
35,91,79,241,257,35
18,97,74,77,86,28
32,88,91,39,5,32
31,99,94,32,225,28
37,96,72,249,237,37
19,97,91,4,5,19
30,96,83,196,221,21
29,77,91,37,179,35
21,84,74,250,221,23
28,96,95,176,26,28
24,101,86,146,139,31
27,100,99,130,36,28
26,90,53,216,219,29
30,97,70,234,123,28
23,100,58,185,81,30
31,97,55,215,28,32
16,97,94,45,92,16
30,102,101,51,6,36
29,94,88,45,61,37
30,101,88,36,187,30
30,92,76,208,59,30
28,94,56,82,132,32
32,95,86,144,101,33
29,104,95,92,135,33
31,99,83,211,217,15
33,76,88,85,148,33
19,93,92,217,109,34
35,93,49,83,233,33
27,96,62,147,181,27
39,84,97,196,97,34
20,98,72,117,198,21
31,86,84,97,185,32
34,95,92,2,9,34
33,81,76,161,112,17
31,97,100,14,142,32
25,91,91,129,128,25
29,92,89,73,253,25
33,90,69,141,204,34
28,96,64,16,129,21
29,75,61,165,1,33
29,80,96,46,52,34
28,93,76,83,143,28
30,101,84,240,94,30
27,81,54,105,71,27
35,92,89,31,226,30
28,97,69,162,237,39
25,99,61,190,8,25
32,91,60,34,91,32
25,64,90,0,7,23
34,82,93,148,47,35
26,79,97,71,216,26
17,87,53,110,114,17
32,86,75,5,128,32
34,81,74,42,103,16
28,89,89,208,107,30
31,87,86,106,68,39
30,91,69,5,27,30
35,98,78,38,177,30
17,97,94,24,104,33
35,90,78,56,165,35
14,99,90,138,82,33
20,95,79,156,187,21
18,99,99,137,170,35
35,95,90,56,10,29
34,80,98,184,40,33
35,100,67,86,35,33
30,98,96,194,146,30
25,95,72,213,105,24
21,93,79,54,145,22
37,88,57,62,75,26
34,94,91,205,24,34
34,98,78,105,128,32
19,93,90,90,43,19
31,96,95,124,147,30
10,84,89,205,16,34
36,99,60,13,117,34
32,98,92,160,168,32
30,97,82,178,123,28
34,78,94,69,26,33
17,97,81,26,115,17
32,97,98,102,93,32
26,85,97,68,83,25
35,91,77,73,82,26
25,97,89,199,218,26
33,96,83,217,157,30
31,93,56,142,245,31
31,93,96,215,238,28
35,97,83,84,67,35
21,95,88,138,58,21
30,80,56,210,47,35
28,100,96,129,184,28
30,96,64,206,40,30
32,64,58,4,172,32
32,98,91,198,86,26
31,92,81,153,205,35
35,88,84,150,190,35
32,96,98,218,121,32
32,101,66,91,187,34
32,95,76,132,61,34
27,94,62,189,140,23
20,94,89,182,31,22
25,100,102,110,156,25
22,102,57,87,31,23
34,96,51,163,64,34
32,100,79,182,211,35
20,94,59,212,239,24
36,90,95,120,230,36
30,91,55,171,202,33
31,99,83,86,79,31
29,97,70,144,246,35
26,100,89,74,186,26
31,77,58,145,221,31
33,94,99,17,16,30
